Province,Time,Temperature,Temp_Max,Temp_Min,Precipitation,Windspeed_Max,UV_Index_Max,Sunshine_Hours,Sundown_Hours,Weather_Code,Humidity,Feel_Like
Bạc Liêu,2025-05-16T21:00,28.4,32.9,26.5,0.0,15.9,8.8,11.0,12,1,86,34.6
Bắc Giang,2025-05-14T00:00,25.0,30.6,24.7,0.0,10.9,7.5,7.02,12,3,91,30.2
Bắc Giang,2025-05-14T03:00,24.9,30.6,24.7,0.0,10.9,7.5,7.02,12,3,94,30.6
Bắc Giang,2025-05-14T06:00,24.9,30.6,24.7,0.0,10.9,7.5,7.02,12,3,94,30.6
Bắc Giang,2025-05-14T09:00,28.3,30.6,24.7,0.5,10.9,7.5,7.02,12,80,83,33.9
Bắc Giang,2025-05-14T12:00,30.6,30.6,24.7,0.1,10.9,7.5,7.02,12,3,72,36.0
Bắc Giang,2025-05-14T15:00,28.6,30.6,24.7,0.7,10.9,7.5,7.02,12,80,81,34.0
Bắc Giang,2025-05-14T18:00,27.7,30.6,24.7,0.0,10.9,7.5,7.02,12,3,81,32.7
Bắc Giang,2025-05-14T21:00,26.3,30.6,24.7,0.0,10.9,7.5,7.02,12,3,89,31.8
Bắc Giang,2025-05-15T00:00,25.6,27.6,25.0,0.0,10.9,7.9,0.34,12,3,94,31.6
Bắc Giang,2025-05-15T03:00,25.2,27.6,25.0,0.0,10.9,7.9,0.34,12,3,94,30.7
Bắc Giang,2025-05-15T06:00,25.2,27.6,25.0,0.0,10.9,7.9,0.34,12,3,93,30.7
Bắc Giang,2025-05-15T09:00,26.7,27.6,25.0,1.1,10.9,7.9,0.34,12,95,88,31.9
Bắc Giang,2025-05-15T12:00,27.5,27.6,25.0,1.2,10.9,7.9,0.34,12,95,86,32.6
Bắc Giang,2025-05-15T15:00,27.6,27.6,25.0,1.1,10.9,7.9,0.34,12,95,86,32.9
Bắc Giang,2025-05-15T18:00,26.3,27.6,25.0,0.0,10.9,7.9,0.34,12,3,90,31.5
Bắc Giang,2025-05-15T21:00,25.7,27.6,25.0,0.0,10.9,7.9,0.34,12,3,92,31.3
Bắc Giang,2025-05-16T00:00,25.4,28.8,25.0,0.5,11.4,3.15,1.41,12,80,94,31.3
Bắc Giang,2025-05-16T03:00,25.2,28.8,25.0,0.9,11.4,3.15,1.41,12,95,95,30.9
Bắc Giang,2025-05-16T06:00,25.1,28.8,25.0,2.1,11.4,3.15,1.41,12,95,95,30.9
Bắc Giang,2025-05-16T09:00,26.1,28.8,25.0,1.0,11.4,3.15,1.41,12,95,94,32.0
Bắc Giang,2025-05-16T12:00,27.6,28.8,25.0,1.7,11.4,3.15,1.41,12,95,90,33.8
Bắc Giang,2025-05-16T15:00,28.0,28.8,25.0,0.3,11.4,3.15,1.41,12,80,87,33.8
Bắc Giang,2025-05-16T18:00,27.6,28.8,25.0,0.0,11.4,3.15,1.41,12,3,89,33.5
Bắc Giang,2025-05-16T21:00,26.5,28.8,25.0,0.0,11.4,3.15,1.41,12,3,93,32.4
Bình Phước,2025-05-14T00:00,26.2,34.6,25.5,0.5,9.7,8.5,9.64,12,80,88,32.1
Bình Phước,2025-05-14T03:00,25.7,34.6,25.5,0.4,9.7,8.5,9.64,12,80,91,31.6
Bình Phước,2025-05-14T06:00,25.5,34.6,25.5,0.0,9.7,8.5,9.64,12,3,93,31.5
Bình Phước,2025-05-14T09:00,29.0,34.6,25.5,0.0,9.7,8.5,9.64,12,2,77,34.4
Bình Phước,2025-05-14T12:00,33.2,34.6,25.5,0.0,9.7,8.5,9.64,12,2,56,39.5
Bình Phước,2025-05-14T15:00,34.6,34.6,25.5,0.0,9.7,8.5,9.64,12,3,52,39.9
Bình Phước,2025-05-14T18:00,29.1,34.6,25.5,0.5,9.7,8.5,9.64,12,80,76,34.7
Bình Phước,2025-05-14T21:00,27.7,34.6,25.5,0.4,9.7,8.5,9.64,12,80,85,34.3
Bình Phước,2025-05-15T00:00,26.5,33.9,25.8,0.0,7.7,8.75,10.01,12,3,92,33.1
Bình Phước,2025-05-15T03:00,26.3,33.9,25.8,0.0,7.7,8.75,10.01,12,3,92,32.7
Bình Phước,2025-05-15T06:00,25.8,33.9,25.8,0.0,7.7,8.75,10.01,12,3,94,32.3
Bình Phước,2025-05-15T09:00,29.1,33.9,25.8,0.0,7.7,8.75,10.01,12,3,77,35.1
Bình Phước,2025-05-15T12:00,32.7,33.9,25.8,0.0,7.7,8.75,10.01,12,3,61,40.3
Bình Phước,2025-05-15T15:00,33.9,33.9,25.8,0.0,7.7,8.75,10.01,12,3,55,39.6
Bình Phước,2025-05-15T18:00,29.3,33.9,25.8,1.8,7.7,8.75,10.01,12,95,76,34.7
Bình Phước,2025-05-15T21:00,27.7,33.9,25.8,0.5,7.7,8.75,10.01,12,80,84,34.1
Bình Phước,2025-05-16T00:00,26.7,34.1,25.4,0.0,8.7,8.2,9.75,12,3,89,33.0
Bình Phước,2025-05-16T03:00,25.8,34.1,25.4,0.4,8.7,8.2,9.75,12,80,94,32.1
Bình Phước,2025-05-16T06:00,25.4,34.1,25.4,0.2,8.7,8.2,9.75,12,3,92,31.1
Bình Phước,2025-05-16T09:00,28.8,34.1,25.4,0.0,8.7,8.2,9.75,12,3,79,35.0
Bình Phước,2025-05-16T12:00,33.1,34.1,25.4,0.0,8.7,8.2,9.75,12,3,59,40.0
Bình Phước,2025-05-16T15:00,33.9,34.1,25.4,0.0,8.7,8.2,9.75,12,3,57,39.4
Bình Phước,2025-05-16T18:00,29.1,34.1,25.4,1.1,8.7,8.2,9.75,12,95,78,34.5
Bình Phước,2025-05-16T21:00,27.3,34.1,25.4,0.6,8.7,8.2,9.75,12,80,86,33.6
Bắc Kạn,2025-05-14T00:00,25.1,29.8,24.4,0.0,7.5,7.6,7.41,12,3,79,29.2
Bắc Kạn,2025-05-14T03:00,24.7,29.8,24.4,0.0,7.5,7.6,7.41,12,2,84,29.2
Bắc Kạn,2025-05-14T06:00,24.5,29.8,24.4,0.0,7.5,7.6,7.41,12,3,85,29.2
Bắc Kạn,2025-05-14T09:00,27.3,29.8,24.4,0.0,7.5,7.6,7.41,12,3,76,31.8
Bắc Kạn,2025-05-14T12:00,29.8,29.8,24.4,0.1,7.5,7.6,7.41,12,3,69,34.6
Bắc Kạn,2025-05-14T15:00,28.6,29.8,24.4,1.1,7.5,7.6,7.41,12,95,78,33.9
Bắc Kạn,2025-05-14T18:00,27.0,29.8,24.4,0.7,7.5,7.6,7.41,12,80,85,32.8
Bắc Kạn,2025-05-14T21:00,25.7,29.8,24.4,0.6,7.5,7.6,7.41,12,80,92,31.7
Bắc Kạn,2025-05-15T00:00,25.0,27.9,24.2,0.7,6.6,8.05,4.49,12,80,95,30.9
Bắc Kạn,2025-05-15T03:00,24.5,27.9,24.2,0.1,6.6,8.05,4.49,12,3,96,30.3
Bắc Kạn,2025-05-15T06:00,24.3,27.9,24.2,0.0,6.6,8.05,4.49,12,45,96,30.0
Bắc Kạn,2025-05-15T09:00,27.1,27.9,24.2,0.3,6.6,8.05,4.49,12,80,85,33.0
Bắc Kạn,2025-05-15T12:00,27.2,27.9,24.2,2.1,6.6,8.05,4.49,12,95,84,32.5
Bắc Kạn,2025-05-15T15:00,27.1,27.9,24.2,1.6,6.6,8.05,4.49,12,95,84,32.6
Bắc Kạn,2025-05-15T18:00,26.1,27.9,24.2,0.3,6.6,8.05,4.49,12,80,89,32.0
Bắc Kạn,2025-05-15T21:00,25.3,27.9,24.2,0.2,6.6,8.05,4.49,12,3,94,31.2
Bắc Kạn,2025-05-16T00:00,24.9,28.0,24.4,0.5,4.7,6.65,0.68,12,80,94,30.7
Bắc Kạn,2025-05-16T03:00,24.5,28.0,24.4,0.4,4.7,6.65,0.68,12,80,96,30.4
Bắc Kạn,2025-05-16T06:00,24.4,28.0,24.4,0.3,4.7,6.65,0.68,12,80,96,30.2
Bắc Kạn,2025-05-16T09:00,25.7,28.0,24.4,0.2,4.7,6.65,0.68,12,80,91,31.6
Bắc Kạn,2025-05-16T12:00,27.4,28.0,24.4,0.5,4.7,6.65,0.68,12,80,87,33.6
Bắc Kạn,2025-05-16T15:00,27.7,28.0,24.4,0.1,4.7,6.65,0.68,12,3,84,33.7
Bắc Kạn,2025-05-16T18:00,27.5,28.0,24.4,0.0,4.7,6.65,0.68,12,3,84,33.4
Bắc Kạn,2025-05-16T21:00,26.0,28.0,24.4,0.0,4.7,6.65,0.68,12,3,92,32.1
Bến Tre,2025-05-14T00:00,27.5,33.7,26.6,0.1,15.4,8.45,11.0,12,3,91,34.4
Bến Tre,2025-05-14T03:00,26.8,33.7,26.6,0.1,15.4,8.45,11.0,12,3,91,33.4
Bến Tre,2025-05-14T06:00,26.6,33.7,26.6,0.0,15.4,8.45,11.0,12,2,92,33.1
Bến Tre,2025-05-14T09:00,30.2,33.7,26.6,0.0,15.4,8.45,11.0,12,2,74,35.7
Bến Tre,2025-05-14T12:00,33.0,33.7,26.6,0.1,15.4,8.45,11.0,12,2,61,38.9
Bến Tre,2025-05-14T15:00,33.3,33.7,26.6,0.0,15.4,8.45,11.0,12,2,59,37.7
Bến Tre,2025-05-14T18:00,30.5,33.7,26.6,0.0,15.4,8.45,11.0,12,3,71,35.2
Bến Tre,2025-05-14T21:00,28.3,33.7,26.6,0.0,15.4,8.45,11.0,12,3,86,34.7
Bến Tre,2025-05-15T00:00,27.5,32.7,26.9,0.0,13.3,8.0,9.13,12,3,91,34.4
Bến Tre,2025-05-15T03:00,27.1,32.7,26.9,0.7,13.3,8.0,9.13,12,80,92,33.7
Bến Tre,2025-05-15T06:00,26.9,32.7,26.9,0.0,13.3,8.0,9.13,12,3,93,33.6
Bến Tre,2025-05-15T09:00,29.5,32.7,26.9,0.3,13.3,8.0,9.13,12,80,79,35.1
Bến Tre,2025-05-15T12:00,31.8,32.7,26.9,0.1,13.3,8.0,9.13,12,3,66,37.0
Bến Tre,2025-05-15T15:00,32.3,32.7,26.9,0.1,13.3,8.0,9.13,12,3,63,36.8
Bến Tre,2025-05-15T18:00,30.1,32.7,26.9,0.0,13.3,8.0,9.13,12,3,72,34.8
Bến Tre,2025-05-15T21:00,28.0,32.7,26.9,0.0,13.3,8.0,9.13,12,3,88,34.5
Bến Tre,2025-05-16T00:00,27.4,34.0,26.7,0.0,14.0,8.75,11.0,12,3,92,34.4
Bến Tre,2025-05-16T03:00,27.2,34.0,26.7,0.0,14.0,8.75,11.0,12,3,92,34.2
Bến Tre,2025-05-16T06:00,26.7,34.0,26.7,0.3,14.0,8.75,11.0,12,80,94,33.4
Bến Tre,2025-05-16T09:00,30.2,34.0,26.7,0.1,14.0,8.75,11.0,12,3,74,35.6
Bến Tre,2025-05-16T12:00,33.2,34.0,26.7,0.0,14.0,8.75,11.0,12,3,62,39.8
Bến Tre,2025-05-16T15:00,33.8,34.0,26.7,0.0,14.0,8.75,11.0,12,2,56,38.4
Bến Tre,2025-05-16T18:00,30.7,34.0,26.7,0.0,14.0,8.75,11.0,12,3,70,35.4
Bến Tre,2025-05-16T21:00,28.2,34.0,26.7,0.0,14.0,8.75,11.0,12,3,87,34.5
Bắc Ninh,2025-05-14T00:00,24.6,30.2,24.2,0.0,10.0,6.35,7.14,12,3,94,29.9
Bắc Ninh,2025-05-14T03:00,24.4,30.2,24.2,0.0,10.0,6.35,7.14,12,2,96,29.9
Bắc Ninh,2025-05-14T06:00,24.4,30.2,24.2,0.0,10.0,6.35,7.14,12,3,96,30.0
Bắc Ninh,2025-05-14T09:00,27.8,30.2,24.2,0.5,10.0,6.35,7.14,12,80,84,33.4
Bắc Ninh,2025-05-14T12:00,30.2,30.2,24.2,0.1,10.0,6.35,7.14,12,3,74,35.9
Bắc Ninh,2025-05-14T15:00,28.2,30.2,24.2,0.4,10.0,6.35,7.14,12,80,84,33.9
Bắc Ninh,2025-05-14T18:00,27.2,30.2,24.2,0.0,10.0,6.35,7.14,12,3,85,32.5
Bắc Ninh,2025-05-14T21:00,25.8,30.2,24.2,0.0,10.0,6.35,7.14,12,3,91,31.1
Bắc Ninh,2025-05-15T00:00,25.2,27.3,24.7,0.0,10.1,8.7,0.04,12,3,95,30.9
Bắc Ninh,2025-05-15T03:00,24.8,27.3,24.7,0.0,10.1,8.7,0.04,12,3,95,30.1
Bắc Ninh,2025-05-15T06:00,24.8,27.3,24.7,0.0,10.1,8.7,0.04,12,3,94,30.1
Bắc Ninh,2025-05-15T09:00,25.9,27.3,24.7,1.0,10.1,8.7,0.04,12,95,91,31.1
Bắc Ninh,2025-05-15T12:00,26.8,27.3,24.7,2.0,10.1,8.7,0.04,12,95,91,32.4
Bắc Ninh,2025-05-15T15:00,27.3,27.3,24.7,0.7,10.1,8.7,0.04,12,80,87,32.6
Bắc Ninh,2025-05-15T18:00,25.9,27.3,24.7,0.0,10.1,8.7,0.04,12,3,91,31.0
Bắc Ninh,2025-05-15T21:00,25.3,27.3,24.7,0.0,10.1,8.7,0.04,12,3,94,30.8
Bắc Ninh,2025-05-16T00:00,25.1,28.6,24.7,0.4,10.1,4.6,0.3,12,80,95,30.7
Bắc Ninh,2025-05-16T03:00,24.8,28.6,24.7,0.4,10.1,4.6,0.3,12,80,96,30.3
Bắc Ninh,2025-05-16T06:00,24.8,28.6,24.7,0.8,10.1,4.6,0.3,12,95,96,30.3
Bắc Ninh,2025-05-16T09:00,26.0,28.6,24.7,1.4,10.1,4.6,0.3,12,80,94,31.7
